"vOTU_id","class","order","family","genus","BS_group","SA_group","IA_group","DA_group","checkv_quality","final_strategy","MQ_or_better","representative_contig_id","representative_length_bp","BS_TPM","BS_relative_TPM","SA_TPM","SA_relative_TPM","IA_TPM","IA_relative_TPM","DA_TPM","DA_relative_TPM","class_assigned","class_raw","order_assigned","order_raw","family_assigned","family_raw","genus_assigned","genus_raw"
"vOTU0735","Caudoviricetes","Unclassified","Unclassified","Unclassified","Rare","Rare","Not detected","Not detected","Low-quality","virulent",0,"FCH3CGLCCXYL4FAA_NODE_794",5762,718.431962909157,0.000718431962909156,305.74877768434,0.00030574877768434,0,0,0,0,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
"vOTU0736","Caudoviricetes","Unclassified","Unclassified","Unclassified","Rare","Rare","Not detected","Not detected","Low-quality","virulent",0,"FCH3CGLCCXYL4FAA_NODE_795",5753,635.806818559957,0.000635806818559956,76.5567627219463,7.65567627219463e-05,0,0,0,0,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
"vOTU0737","Caudoviricetes","Unclassified","Unclassified","Unclassified","Rare","Rare","Not detected","Not detected","Low-quality","virulent",0,"FCH3CGLCCXYL4FAA_NODE_796",5750,383.051145480995,0.000383051145480995,76.5967100602444,7.65967100602444e-05,0,0,0,0,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
"vOTU0738","Caudoviricetes","Unclassified","Pachyviridae","Unclassified","Intermediate","Rare","Not detected","Not detected","Low-quality","virulent",0,"FCH3CGLCCXYL4FAA_NODE_798",5743,2830.15860107592,0.00283015860107591,268.415397749263,0.000268415397749263,0,0,0,0,TRUE,"Caudoviricetes",FALSE,"[Order]_Pachyviridae",TRUE,"Pachyviridae",FALSE,""
"vOTU0739","Caudoviricetes","Unclassified","Unclassified","Unclassified","Rare","Rare","Not detected","Not detected","Low-quality","virulent",0,"FCH3CGLCCXYL4FAA_NODE_799",5742,703.810225734082,0.00070381022573408,230.110418200526,0.000230110418200526,0,0,0,0,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
"vOTU0020","Caudoviricetes","Unclassified","Unclassified","Unclassified","Intermediate","Rare","Not detected","Not detected","Low-quality","virulent",0,"FCH3CGLCCXYL4FAA_NODE_8",46630,1126.66955904254,0.00112666955904254,155.84638007055,0.00015584638007055,0,0,0,0,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
"vOTU0094","Caudoviricetes","Unclassified","Unclassified","Unclassified","Rare","Rare","Not detected","Not detected","Low-quality","virulent",0,"FCH3CGLCCXYL4FAA_NODE_80",17796,547.002638200674,0.000547002638200674,197.991098884133,0.000197991098884133,0,0,0,0,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
"vOTU0740","Caudoviricetes","Unclassified","Unclassified","Unclassified","Rare","Not detected","Not detected","Not detected","Low-quality","virulent",0,"FCH3CGLCCXYL4FAA_NODE_801",5741,717.634224912557,0.000717634224912556,0,0,0,0,0,0,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
"vOTU0741","Caudoviricetes","Unclassified","Unclassified","Unclassified","Rare","Rare","Not detected","Not detected","Low-quality","virulent",0,"FCH3CGLCCXYL4FAA_NODE_802",5736,608.549504015901,0.0006085495040159,76.7837174516563,7.67837174516563e-05,0,0,0,0,TRUE,"Caudoviricetes",FALSE,"[Order]_Flavobacterium phage 11b",FALSE,"[Family]_Flavobacterium phage 11b",FALSE,""
"vOTU0742","Caudoviricetes","Unclassified","Unclassified","Unclassified","Rare","Not detected","Not detected","Not detected","Low-quality","virulent",0,"FCH3CGLCCXYL4FAA_NODE_803",5731,452.949920419298,0.000452949920419298,0,0,0,0,0,0,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
